id,network_arc_id,short_code,name,description,subtype,entity_type_id,schematic_type_id,hydrologic_region_id,boundary_condition,from_node,to_node,length_m,has_tiers,is_main,has_gis_data,entity_version_id,source_ids,watershed_short_code,unimp_sv_variable,has_mif,has_eflows,channel_class,is_active,created_at,created_by,updated_at,updated_by
1404,C_ABN000,East Side Canal/Natomas Cross Canal,,Canal,2,1,1,,ABN000,CRC002,7420.28975526427,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1405,C_ABN010,Auburn Ravine,,Stream,2,1,1,,ABN010,ABN006,6270.99051383392,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1406,C_ABN024,Auburn Ravine,,Stream,2,1,1,,ABN024,ABN014,15301.284302082,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1407,C_ABN027,Auburn Ravine,,Stream,2,1,1,,ABN027,ABN026,1685.94113250432,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1408,C_ALD001,Alder Creek,,Stream,2,1,1,,ALD001,SFA063,1435.22870456851,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1409,C_ALD004,Alder Creek,,Stream,2,1,1,,ALD004,ALD002,4469.78550440921,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1410,C_ALOHA,Pyramid Creek,,Stream,2,1,1,,ALOHA,PYR001,6035.73985119051,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1411,C_AMR004,American River below H Street,,Stream,2,1,1,SAC,AMR004,SAC063,6437.37601583722,,,True,1,1,"{1,3,4}",UPPER_AMERICAN,UNIMP_FOLS,True,True,stream,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1412,C_AMR007,American River,,Stream,2,1,1,,AMR007,AMR006,1222.80349061754,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
1413,C_AMR015,American River,,Stream,2,1,1,,AMR015,AMR009,9656.1122833388,,,True,1,1,"{1,3,4}",,,False,False,,True,2026-03-02 22:32:41.817242+00:00,2,2026-03-02 22:32:41.817242+00:00,2
